panoID,filename,elevation,sun_x,confidence
2877_IrROn8KtTJUV5XBsuWae2Q_-21.73267784_-45.96655498,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/2877_IrROn8KtTJUV5XBsuWae2Q_-21.73267784_-45.96655498.jpg,53.6777,448.28,0.057739
434_pkHhEH94nJftpnyKswlccQ_23.88525236_120.51289821,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/434_pkHhEH94nJftpnyKswlccQ_23.88525236_120.51289821.jpg,54.0824,353.9,0.031311
1296_0rmiCF5t3pfOBwIICNbDBQ_46.83509697_-65.73989028,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/1296_0rmiCF5t3pfOBwIICNbDBQ_46.83509697_-65.73989028.jpg,47.309,490.04,0.012802
1005_zz5K3eYzRf_g3BCkiDeMnQ_30.91348322_-90.12831068,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/1005_zz5K3eYzRf_g3BCkiDeMnQ_30.91348322_-90.12831068.jpg,34.6577,57.78,0.02269
2142_2wz_pmP2HcHo2jXx_FxC7A_45.47390921_-98.50024766,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/2142_2wz_pmP2HcHo2jXx_FxC7A_45.47390921_-98.50024766.jpg,14.8721,285.37,0.058884
108_YJdNwvHsKBbFzGFpyXY9lw_42.60278786_-91.07428942,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/108_YJdNwvHsKBbFzGFpyXY9lw_42.60278786_-91.07428942.jpg,39.8898,306.32,0.056091
221_bPOxRFd91o_W8O9rh0uo-g_61.88361047_28.81233233,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/221_bPOxRFd91o_W8O9rh0uo-g_61.88361047_28.81233233.jpg,20.7573,228.01,0.030884
63_-U_m97bePawhLpR74K1sFw_65.76645294_23.04860427,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/63_-U_m97bePawhLpR74K1sFw_65.76645294_23.04860427.jpg,22.4234,31.18,0.042526
1_WeSmKvFsfLYy_e1oV9b8tw_37.58552663_-75.78515463,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/1_WeSmKvFsfLYy_e1oV9b8tw_37.58552663_-75.78515463.jpg,52.766,82.05,0.021133
670_1VXkYWCs_GfqMX5QpLavLw_37.99950529_15.87325752,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/670_1VXkYWCs_GfqMX5QpLavLw_37.99950529_15.87325752.jpg,34.4577,355.47,0.041443
1149_QI9nA5re6N6TePZmStfAAA_-38.00104355_145.19074495,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/1149_QI9nA5re6N6TePZmStfAAA_-38.00104355_145.19074495.jpg,11.8792,270.88,0.058258
1966_ug1FShKqmrbPFB4XBdpZmA_43.97969477_-97.67077528,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/1966_ug1FShKqmrbPFB4XBdpZmA_43.97969477_-97.67077528.jpg,25.6176,453.07,0.081894
324_QDyoo3v8VWm-XOBiUk1q4g_44.27778469_26.13659573,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/324_QDyoo3v8VWm-XOBiUk1q4g_44.27778469_26.13659573.jpg,31.3662,494.42,0.019592
441_bmZZs6frbaZcnD-DTXMBXQ_47.39938475_21.66691520,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/441_bmZZs6frbaZcnD-DTXMBXQ_47.39938475_21.66691520.jpg,54.2642,179.5,0.013412
151_BYGMzzVEhB9NBxvSZ0DcBA_17.99075804_74.43155213,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/151_BYGMzzVEhB9NBxvSZ0DcBA_17.99075804_74.43155213.jpg,49.094,89.13,0.03273
948_k6pwQzBDZbuTPbvINwhAKg_38.95870082_-80.67688225,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/948_k6pwQzBDZbuTPbvINwhAKg_38.95870082_-80.67688225.jpg,54.8119,192.33,0.102127
244_B0bAf7F_7CMbaZ8aU1okcw_49.14285712_9.74565094,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/244_B0bAf7F_7CMbaZ8aU1okcw_49.14285712_9.74565094.jpg,30.4591,466.79,0.032028
2627_bBNtplMxF3d3RiB1oXycDg_14.83878325_78.01949115,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/2627_bBNtplMxF3d3RiB1oXycDg_14.83878325_78.01949115.jpg,50.121,33.22,0.094131
1101_oMzCVvMABtapwUb0F2HFyA_11.27502852_77.52587561,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/1101_oMzCVvMABtapwUb0F2HFyA_11.27502852_77.52587561.jpg,62.0892,306.13,0.016281
1841_y3_UgiBOt1CCGhGAD9YubQ_30.33841682_-109.69261443,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/1841_y3_UgiBOt1CCGhGAD9YubQ_30.33841682_-109.69261443.jpg,48.8475,77.33,0.041641
1321_0LWZArDWvsEcx05Me1DO0Q_1.31583228_103.94444681,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/1321_0LWZArDWvsEcx05Me1DO0Q_1.31583228_103.94444681.jpg,63.2408,106.94,0.056335
62_0Ze4pTltB6rnZA24KnOqMw_42.90874461_-76.54006201,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/62_0Ze4pTltB6rnZA24KnOqMw_42.90874461_-76.54006201.jpg,39.7762,88.41,0.042389
939_CM63yD4OADgfYdODwj7RKg_38.26290882_36.22052295,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/939_CM63yD4OADgfYdODwj7RKg_38.26290882_36.22052295.jpg,30.546,78.11,0.03389
117_r1uyrHvGn9kNt0mcTtqP3g_60.57470148_6.99749445,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/117_r1uyrHvGn9kNt0mcTtqP3g_60.57470148_6.99749445.jpg,77.1446,298.62,0.208496
2386_yJof8gdhDRjqpC3UUi7tDw_44.63545992_-1.10805670,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/2386_yJof8gdhDRjqpC3UUi7tDw_44.63545992_-1.10805670.jpg,49.3058,125.5,0.069305
2279_viHKesQh8AbMHTyM9HpGUw_47.15901228_-98.00804042,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/2279_viHKesQh8AbMHTyM9HpGUw_47.15901228_-98.00804042.jpg,61.5241,34.91,0.029114
2739__xJZgrCyl2biqanPgzOtBA_30.21666096_-93.37348907,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/2739__xJZgrCyl2biqanPgzOtBA_30.21666096_-93.37348907.jpg,15.823,358.46,0.045288
465_gGRWQd0VedSyUBD24m86Kg_49.59454917_6.03329163,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/465_gGRWQd0VedSyUBD24m86Kg_49.59454917_6.03329163.jpg,39.3363,456.56,0.01207
1371_jqS0dljjiJMryqkIjtIpag_40.15248928_-77.71050926,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/1371_jqS0dljjiJMryqkIjtIpag_40.15248928_-77.71050926.jpg,69.6211,185.45,0.123993
338_i4--IPkrbAkd8f9V99pk4g_-32.93343418_27.45021695,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/338_i4--IPkrbAkd8f9V99pk4g_-32.93343418_27.45021695.jpg,37.2927,78.57,0.015289
623_4eo6oNPh1fYWgAwSh20pug_39.66706055_35.88284619,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/623_4eo6oNPh1fYWgAwSh20pug_39.66706055_35.88284619.jpg,57.7157,407.12,0.013733
798_ojwsnWdif1lQyK6-pOcwww_-8.16065604_113.45901469,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/798_ojwsnWdif1lQyK6-pOcwww_-8.16065604_113.45901469.jpg,72.0197,38.4,0.046478
1024_JszNC8YMAuCrRAXYnd_olQ_17.52759082_101.73077359,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/1024_JszNC8YMAuCrRAXYnd_olQ_17.52759082_101.73077359.jpg,19.5967,284.33,0.021988
388_nZeHMcgR4cypRe_puZlVEw_60.35253162_24.34604458,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/388_nZeHMcgR4cypRe_puZlVEw_60.35253162_24.34604458.jpg,29.7673,38.76,0.064224
413_ZbUQkyO4ZT1Jq9y_-WlYRg_62.84245376_11.29563988,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/413_ZbUQkyO4ZT1Jq9y_-WlYRg_62.84245376_11.29563988.jpg,20.4358,450.6,0.020508
1148_uOY95PfOe5m9OTzAAso8rg_-26.40041780_153.06658168,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/1148_uOY95PfOe5m9OTzAAso8rg_-26.40041780_153.06658168.jpg,60.349,201.0,0.052643
3370_0Wukq4NzeYy447dJKyhkXw_37.82135862_13.85486962,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/3370_0Wukq4NzeYy447dJKyhkXw_37.82135862_13.85486962.jpg,59.6827,133.52,0.171799
1567_ijRqAM1WlIvG4eK6UGn6Tw_-2.63907499_29.74367727,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/1567_ijRqAM1WlIvG4eK6UGn6Tw_-2.63907499_29.74367727.jpg,59.2848,58.83,0.017822
1247_7kybBHx_1hTqYQlmgFsVlg_60.30101418_25.32690960,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/1247_7kybBHx_1hTqYQlmgFsVlg_60.30101418_25.32690960.jpg,33.6779,258.33,0.032349
216_gu60KbF25z_pl1ngmtor3w_45.79074838_-107.63254062,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/216_gu60KbF25z_pl1ngmtor3w_45.79074838_-107.63254062.jpg,10.9453,419.16,0.028427
1298_lPRtwi0gK6G6lBkDNW8cAA_41.56666807_23.29997886,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/1298_lPRtwi0gK6G6lBkDNW8cAA_41.56666807_23.29997886.jpg,18.1252,71.92,0.0177
1508_XmrGQxRFruw1zicuzg_pPA_46.16529844_-96.97776631,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/1508_XmrGQxRFruw1zicuzg_pPA_46.16529844_-96.97776631.jpg,62.0223,95.88,0.026489
1725_Hz_Tllk55hjuNdYVvzs9og_37.40444798_-6.07669851,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/1725_Hz_Tllk55hjuNdYVvzs9og_37.40444798_-6.07669851.jpg,24.9472,491.04,0.016586
332_VJEAyQE5Gw4KByC7Q3c19Q_31.52898790_-97.16137245,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/332_VJEAyQE5Gw4KByC7Q3c19Q_31.52898790_-97.16137245.jpg,31.4268,389.14,0.121597
565_UfdlhY18ww2PJ0cdgnNYLQ_18.09346509_80.79976906,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/565_UfdlhY18ww2PJ0cdgnNYLQ_18.09346509_80.79976906.jpg,41.8477,468.07,0.084396
3338_ZKdj23CHjh1d96YyqTl-2Q_46.83642924_-119.93365122,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/3338_ZKdj23CHjh1d96YyqTl-2Q_46.83642924_-119.93365122.jpg,20.4117,92.77,0.031097
3361_9PbvE69CQM1cZy1k-3YBfg_62.59635627_9.56300629,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/3361_9PbvE69CQM1cZy1k-3YBfg_62.59635627_9.56300629.jpg,30.3484,434.98,0.035187
408_yamzCVgIrOb1JlycIZxqAg_36.16361500_-86.77914750,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/408_yamzCVgIrOb1JlycIZxqAg_36.16361500_-86.77914750.jpg,75.7845,285.22,0.201172
504_xXi7clF5Zl0vwOzZwBlFeA_17.01815903_99.81828553,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/504_xXi7clF5Zl0vwOzZwBlFeA_17.01815903_99.81828553.jpg,43.1202,223.91,0.032471
3236_uYGZz4ssWky2SOw76aFFUg_17.17303977_79.16845589,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/3236_uYGZz4ssWky2SOw76aFFUg_17.17303977_79.16845589.jpg,35.8914,281.37,0.222549
437_HZTAVO_9ec2sHA0kvGyVkQ_38.48731178_-101.08191114,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/437_HZTAVO_9ec2sHA0kvGyVkQ_38.48731178_-101.08191114.jpg,60.5647,98.31,0.064987
709_8EtqNhOssEf66AVaeyLvDA_12.70125983_77.06465252,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/709_8EtqNhOssEf66AVaeyLvDA_12.70125983_77.06465252.jpg,51.0648,407.82,0.126038
2454_siMLX_JvPibwBLLd98i0vg_34.43786924_-100.23532806,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/2454_siMLX_JvPibwBLLd98i0vg_34.43786924_-100.23532806.jpg,13.7153,487.67,0.013901
115_zRlpvFZFkt8QpOceE1h15w_20.90673519_70.91896858,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/115_zRlpvFZFkt8QpOceE1h15w_20.90673519_70.91896858.jpg,19.8326,390.54,0.031403
1128_XcpQWo3T4V22IEsJQDYCYg_41.46185886_-96.77973854,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/1128_XcpQWo3T4V22IEsJQDYCYg_41.46185886_-96.77973854.jpg,37.6257,219.1,0.017242
145_rWLN_a4qYPKm3bddHr3FnA_32.77079350_129.86386248,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/145_rWLN_a4qYPKm3bddHr3FnA_32.77079350_129.86386248.jpg,67.3581,401.51,0.077026
3269_oV9hEh4pkTkQF7-Tr0f3OQ_38.48187696_-100.60189166,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/3269_oV9hEh4pkTkQF7-Tr0f3OQ_38.48187696_-100.60189166.jpg,83.1421,344.65,0.050323
726_Bvch0VNRL3jDpcSJMcUU9g_-36.77179050_174.76542165,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/726_Bvch0VNRL3jDpcSJMcUU9g_-36.77179050_174.76542165.jpg,54.2038,151.79,0.020996
1066_BdObkdI9DrymfnrtB4kEvw_12.21765729_123.53038555,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/1066_BdObkdI9DrymfnrtB4kEvw_12.21765729_123.53038555.jpg,43.2244,204.61,0.057053
631_frYVCdEVPtPzWBw4rfQW5w_35.97245536_-85.56367041,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/631_frYVCdEVPtPzWBw4rfQW5w_35.97245536_-85.56367041.jpg,46.6275,427.76,0.067627
160_xuQK_oY9NCEx9JzO4QZwNA_39.74956709_-8.91556672,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/160_xuQK_oY9NCEx9JzO4QZwNA_39.74956709_-8.91556672.jpg,62.8739,216.29,0.022598
1773_UvtodRbzj5N0DhWgsQJJSQ_-34.07865743_22.16333882,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/1773_UvtodRbzj5N0DhWgsQJJSQ_-34.07865743_22.16333882.jpg,37.3469,412.47,0.076523
2216_Xuzzc75H-5w3HmZUNz2P5g_-26.69390865_152.80336960,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/2216_Xuzzc75H-5w3HmZUNz2P5g_-26.69390865_152.80336960.jpg,53.9754,35.83,0.041611
1357_poFroti6a8VQOzfjMgEUlQ_27.79129722_73.33897050,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/1357_poFroti6a8VQOzfjMgEUlQ_27.79129722_73.33897050.jpg,21.0906,245.5,0.073105
1689_0bTCQqIZ2o1Ae8MxVwXtPA_29.88225592_-96.86680796,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/1689_0bTCQqIZ2o1Ae8MxVwXtPA_29.88225592_-96.86680796.jpg,82.9161,99.29,0.037704
745_Ol6kg1qx-OY0r7uYzAOhGA_46.75638338_4.33361818,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/745_Ol6kg1qx-OY0r7uYzAOhGA_46.75638338_4.33361818.jpg,29.3009,160.47,0.055206
451_7_KbMYsc089wYQmp0ul0_w_28.93605026_78.34428961,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/451_7_KbMYsc089wYQmp0ul0_w_28.93605026_78.34428961.jpg,33.0747,9.24,0.012207
960_4C_gHWZ-lm58jtZadBP1Mw_38.72844833_22.67063100,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/960_4C_gHWZ-lm58jtZadBP1Mw_38.72844833_22.67063100.jpg,22.5295,452.14,0.017563
150_0m72tl3UXnqByHQPBBfksQ_50.96908640_5.76658513,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/150_0m72tl3UXnqByHQPBBfksQ_50.96908640_5.76658513.jpg,42.4193,326.95,0.01825
419_JruZINHTM1ca7gzin64RhA_39.20741366_-76.05076340,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/419_JruZINHTM1ca7gzin64RhA_39.20741366_-76.05076340.jpg,33.9623,379.14,0.021744
3448_6p6Doc5ukqRfrjOPmH4_cA_12.99817389_77.16351244,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/3448_6p6Doc5ukqRfrjOPmH4_cA_12.99817389_77.16351244.jpg,42.9895,423.5,0.125275
1164__-3Q4yE8Wbn3i06yxnPhgA_45.87852047_-111.19648511,/home/alex/Desktop/school/comp-vis/dataset/datasets--everettshen--StreetView360AtoZ/snapshots/f0b9ffb20c4dc68d4422db97b7da7b577970650e/data/1164__-3Q4yE8Wbn3i06yxnPhgA_45.87852047_-111.19648511.jpg,38.0667,486.17,0.013336
